customer_id,first_name,last_name,city,signup_date
660,Daniel,MARTINEZ,,2024-06-11
704,Mateo,Smith,mad rid,2024-10-21
560,Leo,Muller,Madrid,2024-10-21
79,Maria,Martinez,Madríd,2024-07-25
159,Carlos,Diaz,Barcel0na,2024-12-06
422,Noah,Rossi,Barcel0na,2024-06-29
158,Marta,Muller,Madríd,2024-08-30
416,Julia,Romero,Barcelóna,2024-06-06
450,Liam,Brown,barcelona,
617,Daniel,Martinez,mADRÍD,2024-12-23
131,Sofia,Lopez,Madird,2024-08-01
188,Sofia,Lopez,Madríd,2024-11-02
256,,Gonzalez,Barcelóna,2024-12-07
299,SARA,Silva,mADIRD,2024-10-27
673,David,Navarro,barcelona,2024-11-14
443,Anna,Martinez,Madird,2024-11-03
637,Nina,Sanchez,mad rid,2024-07-28
329,Olivia,Diaz, BARCELONA,2024-09-01
225,Alex,Dubois,BARCELONA ,2024-12-14
667,Lucas,RODRIGUEZ,,2024-07-13
267,Anna,Muller,Madrid,2024-07-16
431,David,Gonzalez,Madird,2024-08-16
254,Mateo,Sanchez,barcelona,20240610
33,David,MULLER,Barcelona,2024-06-05
571,Hugo,NAVARRO,bar celona,2024-12-30
210,Sara,NAVARRO,Barcelona,2024-12-18
37,Julia,Smith,barcelona,
464,Maria,Silva,mad rid,2024-11-15
691,Mateo,Smith,madrid,2024-08-25
128,Carlos,Gonzalez,Barcel0na,2024-08-02
431,David,Gonzalez,Madird,2024-08-16
340,Nina,Rodriguez,Barcelona,2024-11-26
162,Maria,Torres,Madrid,2024-07-20
164,Liam,Silva,bar celona,20240903
505,Mateo,,,not_a_date
664,Sofia,lopez, MADRID ,not_a_date
384, Liam ,Muller,madrid,2024-07-07
404,,Perez,bar celona,2024-11-24
692,Noah,Lopez,barcelona,2024-07-05
479,David,Sanchez,BARCELONA ,2024-12-25
688,Emma,Costa, BARCELONA,not_a_date
353,Lucas,Martinez,mad rid,2024-12-21
717,John,Navarro,barcelona,2024-06-27
73,julia,Muller, BARCELONA,2024-06-15
385,Julia,Sanchez,Barcelóna,2024-09-30
81,Leo,Navarro,Madird,2024-11-02
423,Maria,Vega,Barcelona,2024-09-09
298,Julia,Wilson,,2024-07-27
279,Sofia,Gonzalez,MaDrId,2024-09-27
545,alex,Rossi,Barcel0na,2024-07-12
508, Sara ,Sanchez,bar celona,2024-08-08
613,Julia,Rossi,Madrid,2024-08-06
6,Nina,Costa, BARCELONA,2024-10-19
606,John,Silva,Barcel0na,2024-07-04
236,Maria,Rossi,BARCELONA ,2024-09-15
616,Anna,Wilson,bar celona,2024-10-30
618,Noah,Martinez,mad rid,2024-10-13
259,David, Wilson ,,
369,David,Costa,BARCELONA ,2024-07-18
129,Olivia,,Barcel0na,2024-08-17
716,,Gonzalez,MaDrId,2024-07-24
461,Noah,Rodriguez,barcelona,2024-08-12
126,Emma,Rossi,Madird,2024-09-04
393, Anna ,,Madríd,
68,Nina,Romero,Barcelóna,2024-07-29
498,Mateo,Costa, BARCELONA,2024-06-18
191,Sofia,Vega,bar celona,2024-06-29
402,Daniel,Gonzalez,BARCELONA ,2024-12-28
580,John,Martinez, BARCELONA,2024-12-25
